Theodor-Heuss-Straße | from 21509749 → 265590631
Einsteinstraße | from 423024082 → 1067949178
Reutlinger Straße | from 423024082 → 21777045
Reutlinger Straße | from 423024082 → 95034779
Einsteinstraße | from 30050068 → 266683072
Badener Straße | from 30050068 → 30050088
Einsteinstraße | from 30050068 → 21777045
Friedrich-Naumann-Straße | from 30050068 → 95048539
Dittmarstraße | from 21778317 → 421765380
Im Gemmingstal | from 21778317 → 95034872
Im Gemmingstal | from 21778317 → 21777045
Unnamed | from 989198333 → 96879408
Saarlandstraße | from 1535175072 → 1535175074
Unnamed | from 1535175072 → 989198333
Löwensteiner Straße | from 21777181 → 25232216
Im Gemmingstal | from 21777181 → 26779314
Im Gemmingstal | from 21777181 → 25232005
Löwensteiner Straße | from 25232216 → 21777181
Löwensteiner Straße | from 25232216 → 90465705
Nördlinger Straße | from 25232216 → 373408489
Im Gemmingstal | from 26779314 → 21778193
Im Gemmingstal | from 26779314 → 21777181
Metzer Straße | from 26779314 → 1131214711
Keilstraße | from 25104170 → 1549342252
Keilstraße | from 25104170 → 25104129
Mühlstraße | from 25104170 → 21777191
Blumhardtstraße | from 21777257 → 24911578
Ludwigsburger Straße | from 21777257 → 94652984
Blumhardtstraße | from 24911578 → 21777257
Klingenberger Straße | from 24911578 → 94584768
Blumhardtstraße | from 24911578 → 21778036
Ludwigsburger Straße | from 94652984 → 21991794
Hohlstraße | from 94652984 → 31931305
Im Gemmingstal | from 21777294 → 90473324
Im Gemmingstal | from 21777294 → 21778193
Köhlstraße | from 21777294 → 30904035
Hünefeldstraße | from 90473324 → 30904035
Im Gemmingstal | from 90473324 → 1067949253
Im Gemmingstal | from 90473324 → 21777294
Dinkelsbühler Straße | from 21778193 → 90465723
Im Gemmingstal | from 21778193 → 21777294
Im Gemmingstal | from 21778193 → 26779314
Hünefeldstraße | from 30904035 → 90473324
Köhlstraße | from 30904035 → 30904039
Köhlstraße | from 30904035 → 21777294
